"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"164","Lesotho",NA,NA,0.133128,6.23543926011067,5.29490581573601,9.02764293834941,NA,NA,NA,NA,NA,2909.87038659315,NA,NA,16,11.1,NA,NA,NA,"5.8160431654676259",61.3,NA,NA,"70","38","61","23","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"165","Liberia",NA,NA,0.217132,4.821471950985,5.6265047637177,8.0100194528302,NA,NA,NA,NA,NA,714.636039600981,NA,NA,16,12.3,"100",NA,NA,"11.159130434782607",69.5999984741211,NA,NA,"61","57.999999999999993","78","14.000000000000002","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"166","Mali",NA,NA,0.705531,4.00876856154431,4.02013711235697,5.7662808612694,NA,NA,NA,NA,NA,1587.46062615013,NA,NA,15,12.5,"98.979591836734699",NA,NA,"4.958948220064725",66.4,NA,NA,"78","67","65","26","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"167","Mauritania",NA,NA,0.206852,5.08540246693107,6.54965955133095,8.99070485270519,NA,NA,NA,NA,NA,2678.05191797218,NA,NA,16,13.3,"97.826086956521735",NA,NA,"2.7123655913978495",53.5999984741211,NA,NA,"73","62","62","39","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"168","Myanmar",NA,NA,4.786286,8.88040581883043,13.2495412971656,18.8207976472994,NA,NA,NA,NA,NA,NA,NA,NA,17,12.5,"86.36363636363636",NA,NA,"10.185415834996672",71.1999969482422,NA,NA,"69","86","76","66","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"169","Niger",NA,NA,0.837163,4.2070352859825,4.17722219364597,4.0750123083161,NA,NA,NA,NA,NA,878.421378421066,NA,NA,15,13,"100",NA,NA,"0.6881086142322097",69.6999969482422,NA,NA,"70","76","82","38","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"170","Senegal",NA,NA,0.683972,4.52085172896279,5.05961346732777,8.09120844005215,NA,NA,NA,NA,NA,2146.06626108498,NA,NA,16,13.4,"89.010989010989007",NA,NA,"5.8354601226993861",75.0999984741211,NA,NA,"75","44","68","38","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"171","Sierra Leone",NA,NA,0.283932,4.3998745425514,4.80320871463222,7.65695496237772,NA,NA,NA,NA,NA,1400.36008722238,NA,NA,13,11.7,"95.959595959595958",NA,NA,"4.8766867469879518",73.3000030517578,NA,NA,"72","49","72","16","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"172","Singapore",NA,NA,1.000611,17.8561282286473,30.6806199357106,40.4060838942288,NA,NA,NA,NA,NA,72875.9885690663,NA,NA,25,18.6,"106.9767441860465",NA,NA,"40.194958677685953",66.1999969482422,NA,NA,"71","89","82","81","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"173","Sudan",NA,NA,2.080759,5.17153001716272,6.43594502509815,9.22511411983455,NA,NA,NA,NA,NA,3379.41575592806,NA,NA,17,14.4,NA,NA,NA,"3.3106175869120653",57.5999984741211,NA,NA,"77","74","44","53","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"174","Swaziland",NA,NA,0.071334,5.54278654514091,5.71942090315798,7.69758269031508,NA,NA,NA,NA,NA,5882.49260788235,NA,NA,17,10.3,NA,NA,NA,"9.8167213114754102",53.2000007629395,NA,NA,"80","43","62","56.000000000000007","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"175","Syrian Arab Republic",NA,NA,1.191387,6.43908986357617,8.92224913093559,16.4449350569127,NA,NA,NA,NA,NA,NA,NA,NA,19,16.3,NA,NA,NA,"16.430240740740743",32.7000007629395,NA,NA,"55.000000000000007","32","41","21","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"176","Togo",NA,NA,0.325216,4.45222160677865,5.19938112661155,8.14314127175336,NA,NA,NA,NA,NA,1083.95898837346,NA,NA,17,13.4,"97",NA,NA,"11.965244956772334",81.4000015258789,NA,NA,"43","53","56.000000000000007","18","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"177","Trinidad and Tobago",NA,NA,0.193406,14.2201092870461,20.1909513761789,28.15791511772,NA,NA,NA,NA,NA,24990.2747396962,NA,NA,18,13.3,"97.979797979797979",NA,NA,"27.551768292682926",49.8,NA,NA,"82","55.000000000000007","89","63","yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"178","United Arab Emirates",NA,NA,0.215161,2.34969825694392,11.282167744512,23.4849060622524,NA,NA,NA,NA,NA,57094.7637335457,NA,NA,20,15.5,"87.628865979381445",NA,NA,"43.283440860215052",60.0999984741211,NA,NA,"90","89","95","84","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"179","Yemen",NA,NA,1.254085,4.67380348584714,5.33539162163163,9.93866273275537,NA,NA,NA,NA,NA,3490.74297861582,NA,NA,16,12.1,"86.206896551724142",NA,NA,"0.10354235423542354",43.7000007629395,NA,NA,"66","71","50","36","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"180","Zimbabwe",NA,NA,0.685717,4.3948467805453,4.55471170710627,10.1772077525754,NA,NA,NA,NA,NA,1612.64624785767,NA,NA,18,11,"95.50561797752809",NA,NA,"18.145112285336857",87.3000030517578,NA,NA,"77","46","60","62","no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"181","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,18.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"182","Antigua and Barbuda",NA,NA,0.009872,10.7517044588207,19.6778344374017,24.8766084578896,NA,NA,NA,NA,NA,19289.6937407196,NA,NA,22,15.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"183","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10121.8113235728,NA,NA,21,15.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"184","Kiribati",NA,NA,0.006821,6.06726381612303,9.26910932632605,11.9752275394299,NA,NA,NA,NA,NA,2394.15121829775,NA,NA,17,10.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"185","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2,NA,NA,NA,NA,NA,NA,"no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"186","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4277.64676575846,NA,NA,18,10.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"187","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"188","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"189","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13372.3515151182,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"190","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19744.3540061469,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"191","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"192","Seychelles",NA,NA,0.010546,10.931782608245,19.0618910551253,27.3884327384418,NA,NA,NA,NA,NA,21824.5662045751,NA,NA,20,12.253,NA,NA,NA,NA,51.8,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"193","South Sudan",NA,NA,0.633817,5.13635864144446,5.65624829623211,7.51309699375405,NA,NA,NA,NA,NA,2085.19435753265,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"194","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5123.60559948791,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"195","Aruba",NA,NA,0.019,18.4600872084629,28.4243250308077,28.8290506534821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"196","Channel Islands",NA,NA,0.038,23.6327981819515,30.9879783806138,34.9081234166362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"197","China, Hong Kong SAR",NA,NA,1.581,21.6948091124801,33.5832165228782,40.913892052707,NA,NA,NA,NA,NA,50991.8768137395,NA,NA,NA,NA,"83.606557377049185",NA,NA,"37.0247220106626",51.6,NA,NA,"71","87","87","83","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"198","China, Macao SAR",NA,NA,0.086,14.7883105346099,25.6809738701164,34.5279850679473,NA,NA,NA,NA,NA,108818.955406489,NA,NA,NA,NA,NA,NA,NA,"42.723750000000003",62,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"199","French Guiana",NA,NA,0.021,7.84234157092544,12.7107645584519,17.0456168361536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"200","French Polynesia",NA,NA,0.032,11.6015475803143,19.7374186429565,28.3732981408949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"201","Guadeloupe",NA,NA,0.094,20.2442096274949,30.5308067488723,33.9654909085063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2999992370605,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"202","Guam",NA,NA,0.022,13.0494157812638,19.9199844164407,24.8791326532853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"203","Martinique",NA,NA,0.103,26.1895692753989,38.5252546434225,35.900071218109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0999984741211,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"204","Mayotte",NA,NA,0.013,5.57756806866238,8.00258035270632,13.3124959747537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"205","Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"206","New Caledonia",NA,NA,0.038,14.4919769837107,19.5942122186495,24.9491717540766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5999984741211,NA,NA,NA,NA,NA,NA,"no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"207","Puerto Rico",NA,NA,0.723,19.6326710356485,25.4689525656448,33.757009923108,NA,NA,NA,NA,NA,26186.5988690276,NA,NA,NA,NA,"97.979797979797979",NA,NA,NA,32.7999992370605,NA,NA,"91","57","79","36","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"208","Reunion",NA,NA,0.13,15.1389879162148,25.4710814147386,30.8569440060858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.267111111111113",36.8,NA,NA,NA,NA,NA,NA,"no information","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"209","United States Virgin Islands",NA,NA,0.025,24.057540149213,32.1908063953872,32.145696321457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7999992370605,NA,NA,NA,NA,NA,NA,"no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
